id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
368,Gorebyss,1.8,22.6,55,84,105,114,75,52,Water,,FALSE,FALSE,Water1,,Gen-3,60,70,FALSE,20,,FALSE,485
369,Relicanth,1,23.4,100,90,130,45,65,55,Water,Rock,FALSE,FALSE,Water1,Water2,Gen-3,25,70,FALSE,40,,FALSE,485
370,Luvdisc,0.6,8.7,43,30,55,40,65,97,Water,,FALSE,FALSE,Water2,,Gen-3,225,70,FALSE,20,,FALSE,330
371,Bagon,0.6,42.1,45,75,60,40,30,50,Dragon,,FALSE,FALSE,Dragon,,Gen-3,45,35,FALSE,40,,FALSE,300
372,Shelgon,1.1,110.5,65,95,100,60,50,50,Dragon,,FALSE,FALSE,Dragon,,Gen-3,45,35,FALSE,40,,FALSE,420
373,Salamence,1.5,102.6,95,135,80,110,80,100,Dragon,Flying,FALSE,FALSE,Dragon,,Gen-3,45,35,FALSE,40,,TRUE,600
374,Beldum,0.6,95.2,40,55,80,35,60,30,Steel,Psychic,FALSE,FALSE,Mineral,,Gen-3,3,35,FALSE,40,,FALSE,300
375,Metang,1.2,202.5,60,75,100,55,80,50,Steel,Psychic,FALSE,FALSE,Mineral,,Gen-3,3,35,FALSE,40,,FALSE,420
376,Metagross,1.6,550,80,135,130,95,90,70,Steel,Psychic,FALSE,FALSE,Mineral,,Gen-3,3,35,FALSE,40,,TRUE,600
377,Regirock,1.7,230,80,100,200,50,100,50,Rock,,TRUE,FALSE,No-eggs,,Gen-3,3,35,FALSE,80,,FALSE,580
378,Regice,1.8,175,80,50,100,100,200,50,Ice,,TRUE,FALSE,No-eggs,,Gen-3,3,35,FALSE,80,,FALSE,580
379,Registeel,1.9,205,80,75,150,75,150,50,Steel,,TRUE,FALSE,No-eggs,,Gen-3,3,35,FALSE,80,,FALSE,580
380,Latias,1.4,40,80,80,90,110,130,110,Dragon,Psychic,TRUE,FALSE,No-eggs,,Gen-3,3,90,FALSE,120,,FALSE,600
381,Latios,2,60,80,90,80,130,110,110,Dragon,Psychic,TRUE,FALSE,No-eggs,,Gen-3,3,90,FALSE,120,,FALSE,600
382,Kyogre,4.5,352,100,100,90,150,140,90,Water,,TRUE,FALSE,No-eggs,,Gen-3,3,0,FALSE,120,,FALSE,670
383,Groudon,3.5,950,100,150,140,100,90,90,Ground,,TRUE,FALSE,No-eggs,,Gen-3,3,0,FALSE,120,,FALSE,670
384,Rayquaza,7,206.5,105,150,90,150,90,95,Dragon,Flying,TRUE,FALSE,No-eggs,,Gen-3,45,0,FALSE,120,,FALSE,680
385,Jirachi,0.3,1.1,100,100,100,100,100,100,Steel,Psychic,FALSE,TRUE,No-eggs,,Gen-3,3,100,FALSE,120,,FALSE,600
386,Deoxys-normal,1.7,60.8,50,150,50,150,50,150,Psychic,,FALSE,TRUE,No-eggs,,Gen-3,3,0,FALSE,120,,FALSE,600
387,Turtwig,0.4,10.2,55,68,64,45,55,31,Grass,,FALSE,FALSE,Monster,Plant,Gen-4,45,70,FALSE,20,,FALSE,318
388,Grotle,1.1,97,75,89,85,55,65,36,Grass,,FALSE,FALSE,Monster,Plant,Gen-4,45,70,FALSE,20,,FALSE,405
389,Torterra,2.2,310,95,109,105,75,85,56,Grass,Ground,FALSE,FALSE,Monster,Plant,Gen-4,45,70,FALSE,20,,FALSE,525
390,Chimchar,0.5,6.2,44,58,44,58,44,61,Fire,,FALSE,FALSE,Ground,Humanshape,Gen-4,45,70,FALSE,20,,FALSE,309
391,Monferno,0.9,22,64,78,52,78,52,81,Fire,Fighting,FALSE,FALSE,Ground,Humanshape,Gen-4,45,70,FALSE,20,,FALSE,405
392,Infernape,1.2,55,76,104,71,104,71,108,Fire,Fighting,FALSE,FALSE,Ground,Humanshape,Gen-4,45,70,FALSE,20,,FALSE,534
393,Piplup,0.4,5.2,53,51,53,61,56,40,Water,,FALSE,FALSE,Water1,Ground,Gen-4,45,70,FALSE,20,,FALSE,314
394,Prinplup,0.8,23,64,66,68,81,76,50,Water,,FALSE,FALSE,Water1,Ground,Gen-4,45,70,FALSE,20,,FALSE,405
395,Empoleon,1.7,84.5,84,86,88,111,101,60,Water,Steel,FALSE,FALSE,Water1,Ground,Gen-4,45,70,FALSE,20,,FALSE,530
396,Starly,0.3,2,40,55,30,30,30,60,Normal,Flying,FALSE,FALSE,Flying,,Gen-4,255,70,FALSE,15,,FALSE,245
397,Staravia,0.6,15.5,55,75,50,40,40,80,Normal,Flying,FALSE,FALSE,Flying,,Gen-4,120,70,FALSE,15,,FALSE,340
398,Staraptor,1.2,24.9,85,120,70,50,60,100,Normal,Flying,FALSE,FALSE,Flying,,Gen-4,45,70,FALSE,15,,FALSE,485
399,Bidoof,0.5,20,59,45,40,35,40,31,Normal,,FALSE,FALSE,Water1,Ground,Gen-4,255,70,FALSE,15,,FALSE,250
400,Bibarel,1,31.5,79,85,60,55,60,71,Normal,Water,FALSE,FALSE,Water1,Ground,Gen-4,127,70,FALSE,15,,FALSE,410
401,Kricketot,0.3,2.2,37,25,41,25,41,25,Bug,,FALSE,FALSE,Bug,,Gen-4,255,70,FALSE,15,,FALSE,194
402,Kricketune,1,25.5,77,85,51,55,51,65,Bug,,FALSE,FALSE,Bug,,Gen-4,45,70,FALSE,15,,FALSE,384
403,Shinx,0.5,9.5,45,65,34,40,34,45,Electric,,FALSE,FALSE,Ground,,Gen-4,235,70,FALSE,20,,FALSE,263
404,Luxio,0.9,30.5,60,85,49,60,49,60,Electric,,FALSE,FALSE,Ground,,Gen-4,120,100,FALSE,20,,FALSE,363
405,Luxray,1.4,42,80,120,79,95,79,70,Electric,,FALSE,FALSE,Ground,,Gen-4,45,70,FALSE,20,,FALSE,523
406,Budew,0.2,1.2,40,30,35,50,70,55,Grass,Poison,FALSE,FALSE,No-eggs,,Gen-4,255,70,TRUE,20,,FALSE,280
407,Roserade,0.9,14.5,60,70,65,125,105,90,Grass,Poison,FALSE,FALSE,Fairy,Plant,Gen-4,75,70,FALSE,20,,FALSE,515
408,Cranidos,0.9,31.5,67,125,40,30,30,58,Rock,,FALSE,FALSE,Monster,,Gen-4,45,70,FALSE,30,,FALSE,350
409,Rampardos,1.6,102.5,97,165,60,65,50,58,Rock,,FALSE,FALSE,Monster,,Gen-4,45,70,FALSE,30,,FALSE,495
410,Shieldon,0.5,57,30,42,118,42,88,30,Rock,Steel,FALSE,FALSE,Monster,,Gen-4,45,70,FALSE,30,,FALSE,350
411,Bastiodon,1.3,149.5,60,52,168,47,138,30,Rock,Steel,FALSE,FALSE,Monster,,Gen-4,45,70,FALSE,30,,FALSE,495
412,Burmy,0.2,3.4,40,29,45,29,45,36,Bug,,FALSE,FALSE,Bug,,Gen-4,120,70,FALSE,15,,FALSE,224
413,Wormadam-plant,0.5,6.5,60,59,85,79,105,36,Bug,Grass,FALSE,FALSE,Bug,,Gen-4,45,70,FALSE,15,,FALSE,424
414,Mothim,0.9,23.3,70,94,50,94,50,66,Bug,Flying,FALSE,FALSE,Bug,,Gen-4,45,70,FALSE,15,,FALSE,424
415,Combee,0.3,5.5,30,30,42,30,42,70,Bug,Flying,FALSE,FALSE,Bug,,Gen-4,120,70,FALSE,15,,FALSE,244
416,Vespiquen,1.2,38.5,70,80,102,80,102,40,Bug,Flying,FALSE,FALSE,Bug,,Gen-4,45,70,FALSE,15,,FALSE,474
417,Pachirisu,0.4,3.9,60,45,70,45,90,95,Electric,,FALSE,FALSE,Ground,Fairy,Gen-4,200,100,FALSE,10,,FALSE,405
418,Buizel,0.7,29.5,55,65,35,60,30,85,Water,,FALSE,FALSE,Water1,Ground,Gen-4,190,70,FALSE,20,,FALSE,330
419,Floatzel,1.1,33.5,85,105,55,85,50,115,Water,,FALSE,FALSE,Water1,Ground,Gen-4,75,70,FALSE,20,,FALSE,495
420,Cherubi,0.4,3.3,45,35,45,62,53,35,Grass,,FALSE,FALSE,Fairy,Plant,Gen-4,190,70,FALSE,20,,FALSE,275
421,Cherrim,0.5,9.3,70,60,70,87,78,85,Grass,,FALSE,FALSE,Fairy,Plant,Gen-4,75,70,FALSE,20,,FALSE,450
422,Shellos,0.3,6.3,76,48,48,57,62,34,Water,,FALSE,FALSE,Water1,Indeterminate,Gen-4,190,70,FALSE,20,,FALSE,325
423,Gastrodon,0.9,29.9,111,83,68,92,82,39,Water,Ground,FALSE,FALSE,Water1,Indeterminate,Gen-4,75,70,FALSE,20,,FALSE,475
424,Ambipom,1.2,20.3,75,100,66,60,66,115,Normal,,FALSE,FALSE,Ground,,Gen-4,45,100,FALSE,20,,FALSE,482
425,Drifloon,0.4,1.2,90,50,34,60,44,70,Ghost,Flying,FALSE,FALSE,Indeterminate,,Gen-4,125,70,FALSE,30,,FALSE,348
426,Drifblim,1.2,15,150,80,44,90,54,80,Ghost,Flying,FALSE,FALSE,Indeterminate,,Gen-4,60,70,FALSE,30,,FALSE,498
427,Buneary,0.4,5.5,55,66,44,44,56,85,Normal,,FALSE,FALSE,Ground,Humanshape,Gen-4,190,0,FALSE,20,,FALSE,350
428,Lopunny,1.2,33.3,65,76,84,54,96,105,Normal,,FALSE,FALSE,Ground,Humanshape,Gen-4,60,140,FALSE,20,,FALSE,480
429,Mismagius,0.9,4.4,60,60,60,105,105,105,Ghost,,FALSE,FALSE,Indeterminate,,Gen-4,45,35,FALSE,25,,FALSE,495
430,Honchkrow,0.9,27.3,100,125,52,105,52,71,Dark,Flying,FALSE,FALSE,Flying,,Gen-4,30,35,FALSE,20,,FALSE,505
431,Glameow,0.5,3.9,49,55,42,42,37,85,Normal,,FALSE,FALSE,Ground,,Gen-4,190,70,FALSE,20,,FALSE,310
432,Purugly,1,43.8,71,82,64,64,59,112,Normal,,FALSE,FALSE,Ground,,Gen-4,75,70,FALSE,20,,FALSE,452
433,Chingling,0.2,0.6,45,30,50,65,50,45,Psychic,,FALSE,FALSE,No-eggs,,Gen-4,120,70,TRUE,25,,FALSE,285
434,Stunky,0.4,19.2,63,63,47,41,41,74,Poison,Dark,FALSE,FALSE,Ground,,Gen-4,225,70,FALSE,20,,FALSE,329
435,Skuntank,1,38,103,93,67,71,61,84,Poison,Dark,FALSE,FALSE,Ground,,Gen-4,60,70,FALSE,20,,FALSE,479
436,Bronzor,0.5,60.5,57,24,86,24,86,23,Steel,Psychic,FALSE,FALSE,Mineral,,Gen-4,255,70,FALSE,20,,FALSE,300
437,Bronzong,1.3,187,67,89,116,79,116,33,Steel,Psychic,FALSE,FALSE,Mineral,,Gen-4,90,70,FALSE,20,,FALSE,500
438,Bonsly,0.5,15,50,80,95,10,45,10,Rock,,FALSE,FALSE,No-eggs,,Gen-4,255,70,TRUE,20,,FALSE,290
439,Mime-jr,0.6,13,20,25,45,70,90,60,Psychic,Fairy,FALSE,FALSE,No-eggs,,Gen-4,145,70,TRUE,25,Psychic,FALSE,310
440,Happiny,0.6,24.4,100,5,5,15,65,30,Normal,,FALSE,FALSE,No-eggs,,Gen-4,130,140,TRUE,40,,FALSE,220
441,Chatot,0.5,1.9,76,65,45,92,42,91,Normal,Flying,FALSE,FALSE,Flying,,Gen-4,30,35,FALSE,20,,FALSE,411
442,Spiritomb,1,108,50,92,108,92,108,35,Ghost,Dark,FALSE,FALSE,Indeterminate,,Gen-4,100,70,FALSE,30,,FALSE,485
443,Gible,0.7,20.5,58,70,45,40,45,42,Dragon,Ground,FALSE,FALSE,Monster,Dragon,Gen-4,45,70,FALSE,40,,FALSE,300
444,Gabite,1.4,56,68,90,65,50,55,82,Dragon,Ground,FALSE,FALSE,Monster,Dragon,Gen-4,45,70,FALSE,40,,FALSE,410
445,Garchomp,1.9,95,108,130,95,80,85,102,Dragon,Ground,FALSE,FALSE,Monster,Dragon,Gen-4,45,70,FALSE,40,,TRUE,600
446,Munchlax,0.6,105,135,85,40,40,85,5,Normal,,FALSE,FALSE,No-eggs,,Gen-4,50,70,TRUE,40,,FALSE,390
447,Riolu,0.7,20.2,40,70,40,35,40,60,Fighting,,FALSE,FALSE,No-eggs,,Gen-4,75,70,TRUE,25,,FALSE,285
448,Lucario,1.2,54,70,110,70,115,70,90,Fighting,Steel,FALSE,FALSE,Ground,Humanshape,Gen-4,45,70,FALSE,25,,FALSE,525
449,Hippopotas,0.8,49.5,68,72,78,38,42,32,Ground,,FALSE,FALSE,Ground,,Gen-4,140,70,FALSE,30,,FALSE,330
450,Hippowdon,2,300,108,112,118,68,72,47,Ground,,FALSE,FALSE,Ground,,Gen-4,60,70,FALSE,30,,FALSE,525
451,Skorupi,0.8,12,40,50,90,30,55,65,Poison,Bug,FALSE,FALSE,Bug,Water3,Gen-4,120,70,FALSE,20,,FALSE,330
452,Drapion,1.3,61.5,70,90,110,60,75,95,Poison,Dark,FALSE,FALSE,Bug,Water3,Gen-4,45,70,FALSE,20,,FALSE,500
453,Croagunk,0.7,23,48,61,40,61,40,50,Poison,Fighting,FALSE,FALSE,Humanshape,,Gen-4,140,100,FALSE,10,,FALSE,300
454,Toxicroak,1.3,44.4,83,106,65,86,65,85,Poison,Fighting,FALSE,FALSE,Humanshape,,Gen-4,75,70,FALSE,20,,FALSE,490
455,Carnivine,1.4,27,74,100,72,90,72,46,Grass,,FALSE,FALSE,Plant,,Gen-4,200,70,FALSE,25,,FALSE,454
456,Finneon,0.4,7,49,49,56,49,61,66,Water,,FALSE,FALSE,Water2,,Gen-4,190,70,FALSE,20,,FALSE,330
457,Lumineon,1.2,24,69,69,76,69,86,91,Water,,FALSE,FALSE,Water2,,Gen-4,75,70,FALSE,20,,FALSE,460
458,Mantyke,1,65,45,20,50,60,120,50,Water,Flying,FALSE,FALSE,No-eggs,,Gen-4,25,70,TRUE,25,,FALSE,345
459,Snover,1,50.5,60,62,50,62,60,40,Grass,Ice,FALSE,FALSE,Monster,Plant,Gen-4,120,70,FALSE,20,,FALSE,334
460,Abomasnow,2.2,135.5,90,92,75,92,85,60,Grass,Ice,FALSE,FALSE,Monster,Plant,Gen-4,60,70,FALSE,20,,FALSE,494
461,Weavile,1.1,34,70,120,65,45,85,125,Dark,Ice,FALSE,FALSE,Ground,,Gen-4,45,35,FALSE,20,,FALSE,510
462,Magnezone,1.2,180,70,70,115,130,90,60,Electric,Steel,FALSE,FALSE,Mineral,,Gen-4,30,70,FALSE,20,,FALSE,535
463,Lickilicky,1.7,140,110,85,95,80,95,50,Normal,,FALSE,FALSE,Monster,,Gen-4,30,70,FALSE,20,,FALSE,515
464,Rhyperior,2.4,282.8,115,140,130,55,55,40,Ground,Rock,FALSE,FALSE,Monster,Ground,Gen-4,30,70,FALSE,20,,FALSE,535
465,Tangrowth,2,128.6,100,100,125,110,50,50,Grass,,FALSE,FALSE,Plant,,Gen-4,30,70,FALSE,20,,FALSE,535
466,Electivire,1.8,138.6,75,123,67,95,85,95,Electric,,FALSE,FALSE,Humanshape,,Gen-4,30,70,FALSE,25,,FALSE,540
467,Magmortar,1.6,68,75,95,67,125,95,83,Fire,,FALSE,FALSE,Humanshape,,Gen-4,30,70,FALSE,25,,FALSE,540
468,Togekiss,1.5,38,85,50,95,120,115,80,Fairy,Flying,FALSE,FALSE,Flying,Fairy,Gen-4,30,70,FALSE,10,Normal,FALSE,545
469,Yanmega,1.9,51.5,86,76,86,116,56,95,Bug,Flying,FALSE,FALSE,Bug,,Gen-4,30,70,FALSE,20,,FALSE,515
470,Leafeon,1,25.5,65,110,130,60,65,95,Grass,,FALSE,FALSE,Ground,,Gen-4,45,35,FALSE,35,,FALSE,525
471,Glaceon,0.8,25.9,65,60,110,130,95,65,Ice,,FALSE,FALSE,Ground,,Gen-4,45,35,FALSE,35,,FALSE,525
472,Gliscor,2,42.5,75,95,125,45,75,95,Ground,Flying,FALSE,FALSE,Bug,,Gen-4,30,70,FALSE,20,,FALSE,510
473,Mamoswine,2.5,291,110,130,80,70,60,80,Ice,Ground,FALSE,FALSE,Ground,,Gen-4,50,70,FALSE,20,,FALSE,530
474,Porygon-z,0.9,34,85,80,70,135,75,90,Normal,,FALSE,FALSE,Mineral,,Gen-4,30,70,FALSE,20,,FALSE,535
475,Gallade,1.6,52,68,125,65,65,115,80,Psychic,Fighting,FALSE,FALSE,Humanshape,Indeterminate,Gen-4,45,35,FALSE,20,,FALSE,518
476,Probopass,1.4,340,60,55,145,75,150,40,Rock,Steel,FALSE,FALSE,Mineral,,Gen-4,60,70,FALSE,20,,FALSE,525
477,Dusknoir,2.2,106.6,45,100,135,65,135,45,Ghost,,FALSE,FALSE,Indeterminate,,Gen-4,45,35,FALSE,25,,FALSE,525
478,Froslass,1.3,26.6,70,80,70,80,70,110,Ice,Ghost,FALSE,FALSE,Fairy,Mineral,Gen-4,75,70,FALSE,20,,FALSE,480
479,Rotom,0.3,0.3,50,50,77,95,77,91,Electric,Ghost,FALSE,FALSE,Indeterminate,,Gen-4,45,70,FALSE,20,,FALSE,440
480,Uxie,0.3,0.3,75,75,130,75,130,95,Psychic,,TRUE,FALSE,No-eggs,,Gen-4,3,140,FALSE,80,,FALSE,580
481,Mesprit,0.3,0.3,80,105,105,105,105,80,Psychic,,TRUE,FALSE,No-eggs,,Gen-4,3,140,FALSE,80,,FALSE,580
482,Azelf,0.3,0.3,75,125,70,125,70,115,Psychic,,TRUE,FALSE,No-eggs,,Gen-4,3,140,FALSE,80,,FALSE,580
483,Dialga,5.4,683,100,120,120,150,100,90,Steel,Dragon,TRUE,FALSE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,680
484,Palkia,4.2,336,90,120,100,150,120,100,Water,Dragon,TRUE,FALSE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,680
485,Heatran,1.7,430,91,90,106,130,106,77,Fire,Steel,TRUE,FALSE,No-eggs,,Gen-4,3,100,FALSE,10,,FALSE,600
486,Regigigas,3.7,420,110,160,110,80,110,100,Normal,,TRUE,FALSE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,670
487,Giratina-altered,4.5,750,150,100,120,100,120,90,Ghost,Dragon,TRUE,FALSE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,680
488,Cresselia,1.5,85.6,120,70,110,75,120,85,Psychic,,TRUE,FALSE,No-eggs,,Gen-4,3,100,FALSE,120,,FALSE,580
489,Phione,0.4,3.1,80,80,80,80,80,80,Water,,FALSE,TRUE,Water1,Fairy,Gen-4,30,70,FALSE,40,,FALSE,480
490,Manaphy,0.3,1.4,100,100,100,100,100,100,Water,,FALSE,TRUE,Water1,Fairy,Gen-4,3,70,FALSE,10,,FALSE,600
491,Darkrai,1.5,50.5,70,90,90,135,90,125,Dark,,FALSE,TRUE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,600
492,Shaymin-land,0.2,2.1,100,100,100,100,100,100,Grass,,FALSE,TRUE,No-eggs,,Gen-4,45,100,FALSE,120,,FALSE,600
493,Arceus,3.2,320,120,120,120,120,120,120,Normal,,FALSE,TRUE,No-eggs,,Gen-4,3,0,FALSE,120,,FALSE,720
494,Victini,0.4,4,100,100,100,100,100,100,Psychic,Fire,FALSE,TRUE,No-eggs,,Gen-5,3,100,FALSE,120,,FALSE,600
495,Snivy,0.6,8.1,45,45,55,45,55,63,Grass,,FALSE,FALSE,Ground,Plant,Gen-5,45,70,FALSE,20,,FALSE,308
496,Servine,0.8,16,60,60,75,60,75,83,Grass,,FALSE,FALSE,Ground,Plant,Gen-5,45,70,FALSE,20,,FALSE,413
497,Serperior,3.3,63,75,75,95,75,95,113,Grass,,FALSE,FALSE,Ground,Plant,Gen-5,45,70,FALSE,20,,FALSE,528
498,Tepig,0.5,9.9,65,63,45,45,45,45,Fire,,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,308
499,Pignite,1,55.5,90,93,55,70,55,55,Fire,Fighting,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,418
500,Emboar,1.6,150,110,123,65,100,65,65,Fire,Fighting,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,528
501,Oshawott,0.5,5.9,55,55,45,63,45,45,Water,,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,308
502,Dewott,0.8,24.5,75,75,60,83,60,60,Water,,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,413
503,Samurott,1.5,94.6,95,100,85,108,70,70,Water,,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,20,,FALSE,528
504,Patrat,0.5,11.6,45,55,39,35,39,42,Normal,,FALSE,FALSE,Ground,,Gen-5,255,70,FALSE,15,,FALSE,255
505,Watchog,1.1,27,60,85,69,60,69,77,Normal,,FALSE,FALSE,Ground,,Gen-5,255,70,FALSE,20,,FALSE,420
506,Lillipup,0.4,4.1,45,60,45,25,45,55,Normal,,FALSE,FALSE,Ground,,Gen-5,255,70,FALSE,15,,FALSE,275
507,Herdier,0.9,14.7,65,80,65,35,65,60,Normal,,FALSE,FALSE,Ground,,Gen-5,120,70,FALSE,15,,FALSE,370
508,Stoutland,1.2,61,85,110,90,45,90,80,Normal,,FALSE,FALSE,Ground,,Gen-5,45,70,FALSE,15,,FALSE,500
509,Purrloin,0.4,10.1,41,50,37,50,37,66,Dark,,FALSE,FALSE,Ground,,Gen-5,255,70,FALSE,20,,FALSE,281
510,Liepard,1.1,37.5,64,88,50,88,50,106,Dark,,FALSE,FALSE,Ground,,Gen-5,90,70,FALSE,20,,FALSE,446
511,Pansage,0.6,10.5,50,53,48,53,48,64,Grass,,FALSE,FALSE,Ground,,Gen-5,190,70,FALSE,20,,FALSE,316
512,Simisage,1.1,30.5,75,98,63,98,63,101,Grass,,FALSE,FALSE,Ground,,Gen-5,75,70,FALSE,20,,FALSE,498
513,Pansear,0.6,11,50,53,48,53,48,64,Fire,,FALSE,FALSE,Ground,,Gen-5,190,70,FALSE,20,,FALSE,316
514,Simisear,1,28,75,98,63,98,63,101,Fire,,FALSE,FALSE,Ground,,Gen-5,75,70,FALSE,20,,FALSE,498
515,Panpour,0.6,13.5,50,53,48,53,48,64,Water,,FALSE,FALSE,Ground,,Gen-5,190,70,FALSE,20,,FALSE,316
516,Simipour,1,29,75,98,63,98,63,101,Water,,FALSE,FALSE,Ground,,Gen-5,75,70,FALSE,20,,FALSE,498
517,Munna,0.6,23.3,76,25,45,67,55,24,Psychic,,FALSE,FALSE,Ground,,Gen-5,190,70,FALSE,10,,FALSE,292
518,Musharna,1.1,60.5,116,55,85,107,95,29,Psychic,,FALSE,FALSE,Ground,,Gen-5,75,70,FALSE,10,,FALSE,487
519,Pidove,0.3,2.1,50,55,50,36,30,43,Normal,Flying,FALSE,FALSE,Flying,,Gen-5,255,70,FALSE,15,,FALSE,264
520,Tranquill,0.6,15,62,77,62,50,42,65,Normal,Flying,FALSE,FALSE,Flying,,Gen-5,120,70,FALSE,15,,FALSE,358
521,Unfezant,1.2,29,80,115,80,65,55,93,Normal,Flying,FALSE,FALSE,Flying,,Gen-5,45,70,FALSE,15,,FALSE,488
522,Blitzle,0.8,29.8,45,60,32,50,32,76,Electric,,FALSE,FALSE,Ground,,Gen-5,190,70,FALSE,20,,FALSE,295
523,Zebstrika,1.6,79.5,75,100,63,80,63,116,Electric,,FALSE,FALSE,Ground,,Gen-5,75,70,FALSE,20,,FALSE,497
524,Roggenrola,0.4,18,55,75,85,25,25,15,Rock,,FALSE,FALSE,Mineral,,Gen-5,255,70,FALSE,15,,FALSE,280
525,Boldore,0.9,102,70,105,105,50,40,20,Rock,,FALSE,FALSE,Mineral,,Gen-5,120,70,FALSE,15,,FALSE,390
526,Gigalith,1.7,260,85,135,130,60,80,25,Rock,,FALSE,FALSE,Mineral,,Gen-5,45,70,FALSE,15,,FALSE,515
527,Woobat,0.4,2.1,65,45,43,55,43,72,Psychic,Flying,FALSE,FALSE,Ground,Flying,Gen-5,190,70,FALSE,15,,FALSE,323
528,Swoobat,0.9,10.5,67,57,55,77,55,114,Psychic,Flying,FALSE,FALSE,Ground,Flying,Gen-5,45,70,FALSE,15,,FALSE,425
529,Drilbur,0.3,8.5,60,85,40,30,45,68,Ground,,FALSE,FALSE,Ground,,Gen-5,120,70,FALSE,20,,FALSE,328
530,Excadrill,0.7,40.4,110,135,60,50,65,88,Ground,Steel,FALSE,FALSE,Ground,,Gen-5,60,70,FALSE,20,,FALSE,508
531,Audino,1.1,31,103,60,86,60,86,50,Normal,,FALSE,FALSE,Fairy,,Gen-5,255,70,FALSE,20,,FALSE,445
532,Timburr,0.6,12.5,75,80,55,25,35,35,Fighting,,FALSE,FALSE,Humanshape,,Gen-5,180,70,FALSE,20,,FALSE,305
533,Gurdurr,1.2,40,85,105,85,40,50,40,Fighting,,FALSE,FALSE,Humanshape,,Gen-5,90,70,FALSE,20,,FALSE,405
534,Conkeldurr,1.4,87,105,140,95,55,65,45,Fighting,,FALSE,FALSE,Humanshape,,Gen-5,45,70,FALSE,20,,FALSE,505
535,Tympole,0.5,4.5,50,50,40,50,40,64,Water,,FALSE,FALSE,Water1,,Gen-5,255,70,FALSE,20,,FALSE,294
536,Palpitoad,0.8,17,75,65,55,65,55,69,Water,Ground,FALSE,FALSE,Water1,,Gen-5,120,70,FALSE,20,,FALSE,384
537,Seismitoad,1.5,62,105,95,75,85,75,74,Water,Ground,FALSE,FALSE,Water1,,Gen-5,45,70,FALSE,20,,FALSE,509
538,Throh,1.3,55.5,120,100,85,30,85,45,Fighting,,FALSE,FALSE,Humanshape,,Gen-5,45,70,FALSE,20,,FALSE,465
539,Sawk,1.4,51,75,125,75,30,75,85,Fighting,,FALSE,FALSE,Humanshape,,Gen-5,45,70,FALSE,20,,FALSE,465
540,Sewaddle,0.3,2.5,45,53,70,40,60,42,Bug,Grass,FALSE,FALSE,Bug,,Gen-5,255,70,FALSE,15,,FALSE,310
541,Swadloon,0.5,7.3,55,63,90,50,80,42,Bug,Grass,FALSE,FALSE,Bug,,Gen-5,120,70,FALSE,15,,FALSE,380
542,Leavanny,1.2,20.5,75,103,80,70,80,92,Bug,Grass,FALSE,FALSE,Bug,,Gen-5,45,70,FALSE,15,,FALSE,500
543,Venipede,0.4,5.3,30,45,59,30,39,57,Bug,Poison,FALSE,FALSE,Bug,,Gen-5,255,70,FALSE,15,,FALSE,260
544,Whirlipede,1.2,58.5,40,55,99,40,79,47,Bug,Poison,FALSE,FALSE,Bug,,Gen-5,120,70,FALSE,15,,FALSE,360
545,Scolipede,2.5,200.5,60,100,89,55,69,112,Bug,Poison,FALSE,FALSE,Bug,,Gen-5,45,70,FALSE,20,,FALSE,485
546,Cottonee,0.3,0.6,40,27,60,37,50,66,Grass,Fairy,FALSE,FALSE,Plant,Fairy,Gen-5,190,70,FALSE,20,Grass,FALSE,280
547,Whimsicott,0.7,6.6,60,67,85,77,75,116,Grass,Fairy,FALSE,FALSE,Plant,Fairy,Gen-5,75,70,FALSE,20,Grass,FALSE,480
548,Petilil,0.5,6.6,45,35,50,70,50,30,Grass,,FALSE,FALSE,Plant,,Gen-5,190,70,FALSE,20,,FALSE,280
549,Lilligant,1.1,16.3,70,60,75,110,75,90,Grass,,FALSE,FALSE,Plant,,Gen-5,75,70,FALSE,20,,FALSE,480
550,Basculin-red-striped,1,18,70,92,65,80,55,98,Water,,FALSE,FALSE,Water2,,Gen-5,25,70,FALSE,40,,FALSE,460
551,Sandile,0.7,15.2,50,72,35,35,35,65,Ground,Dark,FALSE,FALSE,Ground,,Gen-5,180,70,FALSE,20,,FALSE,292
552,Krokorok,1,33.4,60,82,45,45,45,74,Ground,Dark,FALSE,FALSE,Ground,,Gen-5,90,70,FALSE,20,,FALSE,351
